MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
1884,Nira Ave,2,Jamaica Plain,12:00,16:00,Even,Day St,Grotto Glen Rd,0.1233,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1885,Mt Vernon St,1C,Charlestown,12:00,16:00,Even,Dead End,Lowney Way,0.1309,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1886,Mt Vernon St,1C,Charlestown,12:00,16:00,Odd,Dead End,Lowney Way,0.1309,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1887,Mulvey St,7,South Dorchester,08:00,12:00,Even,Walk Hill St,Mattapan St,0.0517,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1888,Mulvey St,7,South Dorchester,08:00,12:00,Odd,Walk Hill St,Mattapan St,0.0517,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1889,Munroe St,10R,Roxbury,12:00,16:00,Even,Humboldt Ave,Walnut Ave,0.2161,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1890,Munroe St,10R,Roxbury,12:00,16:00,Odd,Humboldt Ave,Walnut Ave,0.2161,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1891,Murray Hill Rd,2,Jamaica Plain,08:00,12:00,Even,Washington St,Florence St,0.1551,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1892,Murray Hill Rd,2,Jamaica Plain,08:00,12:00,Odd,Washington St,Florence St,0.1551,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1893,Mystic St,1C,Charlestown,08:00,12:00,Even,Bunker Hill St,Medford St,0.1347,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1894,Mystic St,1C,Charlestown,08:00,12:00,Odd,Bunker Hill St,Medford St,0.1347,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1895,N St,5,South Boston,09:00,13:00,Even,East Broadway,Columbia Rd,0.3341,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1896,N St,5,South Boston,09:00,13:00,Odd,East Broadway,Columbia Rd,0.3341,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1897,Sherman St,10R,Roxbury,12:00,16:00,Odd,Rockland St,Dale St,0.0873,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1898,Laurel St,10R,Roxbury,12:00,16:00,Even,Catawba St,Humboldt Ave,0.0655,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1899,Nira Ave,2,Jamaica Plain,12:00,16:00,Odd,Day St,Grotto Glen Rd,0.1233,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1900,Hillsboro Rd,7,South Dorchester,08:00,12:00,Odd,Wellington Hill St,Ormond St,0.1231,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1901,Patterson Way,5,South Boston,13:00,17:00,Odd,Old Colony Ave,East Eighth St,0.1881,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1902,Patterson Way,5,South Boston,13:00,17:00,Even,Old Colony Ave,East Eighth St,0.1881,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1904,Peter Parley Rd,2,Jamaica Plain,08:00,12:00,Odd,Washington St,Sigourney St,0.2602,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1905,Perrin St,10R,Roxbury,08:00,12:00,Odd,Moreland St,Waverly St,0.2116,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1906,Pearl St,1C,Charlestown,08:00,12:00,Odd,Bunker Hill St,Medford St,0.1326,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1907,Northampton St,1S,South End,08:00,12:00,Odd,Albany St,Dead End,0.7008,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
1908,Normandy St,3,North Dorchester,12:00,16:00,Even,Lawrence Ave,Geneva Ave,0.3420,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1909,Pearl St,3,North Dorchester,12:00,16:00,Even,Dorchester Ave,Pleasant St,0.1604,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
1910,Normandy St,3,North Dorchester,12:00,16:00,Odd,Lawrence Ave,Geneva Ave,0.3420,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1911,Paxton St,7,South Dorchester,12:00,16:00,Odd,Blue Hill Ave,Harvard St,0.0555,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1912,Northampton St,1S,South End,08:00,12:00,Even,Albany St,Dead End,0.7008,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1913,North Washington St,1C,Charlestown,00:01,07:00,Bridge,Causeway St,Constitution Rd,0.2996,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1914,Newbury St,10F,Fenway/Kenmore,00:01,07:00,,Kenmore St,Brookline Ave,0.1313,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1915,Pleasant St,1C,Charlestown,08:00,12:00,Even,Main St,Monument Sq,0.1532,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1916,Pinckney St,1H,Beacon Hill,08:00,12:00,Odd,Charles St,David G Mugar Way,0.0814,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
1917,Prince St,1N,North End,08:00,12:00,Odd,Hanover St,Commercial St,0.2964,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1918,Pratt St,4,Allston/Brighton,08:00,12:00,Even,Linden St,Ashford St,0.2138,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1919,Pratt St,4,Allston/Brighton,08:00,12:00,Odd,Linden St,Ashford St,0.2138,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
